tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-800,Brisbane,Hard,48,500,,20260104,1,220520.0,,,Mccartney Kessler,R,,USA,26.495,31.0,1558.0,215306.0,,,Emiliana Arango,R,,COL,25.101,49.0,1161.0,6-1 6-3,3,R64,82.0,1.0,3.0,59.0,39.0,24.0,12.0,8.0,2.0,4.0,2.0,0.0,70.0,44.0,22.0,9,8.0,9.0,15.0
2026-800,Brisbane,Hard,48,500,,20260104,2,201548.0,,WC,Ajla Tomljanovic,R,180.0,AUS,32.663,80.0,844.0,221039.0,,,Elsa Jacquemot,R,,FRA,22.675,55.0,1076.0,6-1 6-3,3,R64,75.0,3.0,6.0,45.0,30.0,23.0,8.0,8.0,1.0,2.0,4.0,5.0,50.0,27.0,15.0,7,8.0,2.0,7.0
2026-800,Brisbane,Hard,48,500,,20260104,3,215713.0,,,Anastasia Potapova,R,175.0,RUS,24.767,50.0,1131.0,214082.0,,,Daria Kasatkina,R,170.0,RUS,28.663,37.0,1334.0,7-5 4-6 6-4,3,R64,153.0,7.0,16.0,106.0,68.0,47.0,19.0,16.0,5.0,9.0,5.0,4.0,112.0,64.0,42.0,19,16.0,10.0,15.0
2026-800,Brisbane,Hard,48,500,,20260104,4,201514.0,,,Sorana Cirstea,R,176.0,ROU,35.746,43.0,1243.0,201499.0,,,Anastasia Pavlyuchenkova,R,177.0,RUS,34.509,47.0,1184.0,6-3 6-1,3,R64,61.0,9.0,3.0,44.0,30.0,25.0,7.0,8.0,0.0,0.0,3.0,2.0,44.0,26.0,17.0,4,8.0,0.0,4.0
2026-800,Brisbane,Hard,48,500,,20260104,5,213550.0,,,Sofia Kenin,R,170.0,USA,27.141,28.0,1589.0,211817.0,,Q,Elena Gabriela Ruse,R,,ROU,28.162,88.0,825.0,6-4 4-6 6-3,3,R64,137.0,2.0,6.0,96.0,62.0,37.0,17.0,14.0,4.0,8.0,8.0,11.0,92.0,55.0,38.0,15,15.0,4.0,10.0
2026-800,Brisbane,Hard,48,500,,20260104,6,213631.0,,,Marie Bouzkova,R,180.0,CZE,27.458,42.0,1260.0,211713.0,,,Jaqueline Cristian,R,180.0,ROU,27.584,39.0,1324.0,6-4 6-3,3,R64,90.0,8.0,4.0,53.0,37.0,28.0,7.0,9.0,1.0,3.0,2.0,2.0,59.0,39.0,23.0,7,10.0,6.0,11.0
2026-800,Brisbane,Hard,48,500,,20260104,7,201533.0,,Q,Shuai Zhang,R,177.0,CHN,36.954,81.0,843.0,221909.0,,,Ashlyn Krueger,R,185.0,USA,21.662,44.0,1229.0,6-4 5-7 6-4,3,R64,124.0,3.0,3.0,92.0,70.0,51.0,12.0,16.0,5.0,7.0,2.0,15.0,105.0,72.0,52.0,14,16.0,5.0,8.0
2026-800,Brisbane,Hard,48,500,,20260104,8,214040.0,,WC,Kimberly Birrell,R,170.0,AUS,27.686,98.0,802.0,211685.0,,Q,Rebecca Sramkova,R,,SVK,29.211,72.0,914.0,6-4 3-6 6-3,3,R64,136.0,5.0,5.0,90.0,62.0,42.0,14.0,14.0,5.0,8.0,6.0,5.0,89.0,52.0,37.0,16,14.0,4.0,8.0
2026-800,Brisbane,Hard,48,500,,20260104,9,216265.0,,Q,Olivia Gadecki,R,,AUS,23.699,206.0,350.0,215983.0,,,Ann Li,R,170.0,USA,25.526,38.0,1334.0,6-4 6-4,3,R64,99.0,2.0,0.0,75.0,52.0,33.0,11.0,10.0,8.0,10.0,2.0,2.0,64.0,34.0,21.0,13,10.0,4.0,8.0
2026-800,Brisbane,Hard,48,500,,20260104,10,213710.0,,,Cristina Bucsa,R,,ESP,28.009,51.0,1127.0,214388.0,,Q,Anna Bondar,R,,HUN,28.608,74.0,900.0,4-6 7-6(4) 6-2,3,R64,137.0,3.0,5.0,93.0,68.0,42.0,11.0,15.0,1.0,5.0,1.0,10.0,109.0,55.0,35.0,26,15.0,7.0,12.0
