tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-3009,Cancun,Hard,28,C,O,20260817,1,U182,5,,Camilo Ugo Carabelli,R,185,ARG,27.168,76,790,M0AW,,,Nicolas Mejia,R,183,COL,26.513,129,485,7-5 6-4,3,R32,114,2,0,57,43,34,11,11,0,0,4,4,72,37,24,23,11,4,6
2026-3009,Cancun,Hard,28,C,O,20260817,2,W0BH,6,,Coleman Wong,R,191,HKG,22.196,92,680,MP20,,,Alexandre Muller,R,183,FRA,29.539,135,445,6-2 6-2,3,R32,77,12,3,55,32,26,11,8,4,4,6,1,49,24,15,10,8,3,7
2026-3009,Cancun,Hard,28,C,O,20260817,3,EA13,,,Moez Echargui,R,178,TUN,33.599,194,287,V0AM,,,Otto Virtanen,R,193,FIN,25.155,114,564,7-6(5) 7-6(5),3,R32,118,4,2,81,48,37,20,12,2,4,11,5,87,56,38,17,12,3,5
2026-3009,Cancun,Hard,28,C,O,20260817,4,HG86,,,Lloyd Harris,R,193,RSA,29.476,179,317,B0NO,,,Darwin Blanch,L,185,USA,18.886,221,249,6-4 6-2,3,R32,71,4,0,52,37,29,9,9,1,1,3,2,54,34,24,8,9,2,5
2026-3009,Cancun,Hard,28,C,O,20260817,5,K0O4,,,Moise Kouame,R,191,FRA,17.448,212,263,MW75,,,Felipe Meligeni Alves,R,185,BRA,28.49,560,71,6-1 6-4,3,R32,101,7,5,63,33,26,14,9,3,4,1,1,49,31,20,5,8,4,8
2026-3009,Cancun,Hard,28,C,O,20260817,6,M0HD,,,Alan Magadan,R,183,MEX,25.227,554,74,H0CD,,,Alex Hernandez,R,175,MEX,27.151,459,99,4-6 6-0 6-4,3,R32,159,7,1,97,68,42,15,13,10,13,4,3,107,73,41,13,13,12,18
2026-3009,Cancun,Hard,28,C,O,20260817,7,O0A2,,,Gauthier Onclin,R,180,BEL,25.47,167,339,S0GR,,,Timofey Skatov,R,173,KAZ,25.569,147,391,2-6 6-2 6-3,3,R32,148,4,1,78,54,39,11,13,7,10,4,2,89,58,34,16,12,4,8
2026-3009,Cancun,Hard,28,C,O,20260817,8,P0J1,,,Rodrigo Pacheco Mendez,L,191,MEX,21.311,293,188,BS86,,,Tomas Barrios Vera,R,191,CHI,28.684,145,400,7-6(5) 6-2,3,R32,126,5,2,77,46,32,20,10,5,6,2,1,62,40,27,11,10,3,6
2026-3009,Cancun,Hard,28,C,O,20260817,9,L0CX,,,Pablo Llamas Ruiz,R,188,ESP,23.844,127,489,C0DF,8,,Francisco Comesana,R,178,ARG,25.862,107,603,6-3 7-5,3,R32,115,2,2,72,44,27,15,10,3,6,7,0,59,36,19,9,11,1,7
2026-3009,Cancun,Hard,28,C,O,20260817,10,R0GO,,,Henrique Rocha,R,180,POR,22.363,125,509,HC21,,,Seongchan Hong,R,175,KOR,29.131,,,6-4 6-1,3,R32,120,3,2,61,32,23,14,8,10,12,4,5,80,36,20,16,9,10,16
2026-3009,Cancun,Hard,28,C,O,20260817,11,SX50,7,,Roman Safiullin,R,185,RUS,29.027,102,648,O513,,,Sebastian Ofner,R,191,AUT,30.264,126,505,6-3 6-4,3,R32,90,3,1,72,42,27,22,10,9,10,5,5,55,28,19,11,9,5,8
